,zone,room,bathroom,floor,t_floors,area,area_unit,area_type,furnishing,facing,power_backup,available_from,contact,rent
5021,Dwarka,3,2,3,10,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 45,000"
5022,Dwarka,2,2,,,1139.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 37,500"
5023,Dwarka,2,2,,,1245.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 32,550"
5024,Dwarka,3,3,,,1945.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 47,750"
5025,Dwarka,3,2,,,1782.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 37,800"
5026,Dwarka,2,2,,,1200.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 32,000"
5027,Dwarka,4,2,,,2047.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 56,000"
5028,Dwarka,2,2,,,1157.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 29,500"
5029,Dwarka,1,2,7,,585.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 16,550"
5030,Dwarka,3,2,,,1824.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 48,500"
5031,Dwarka,4,4,,,2535.0,Sq.Ft.,Built-up Area,Semi-Furnished,,,Immediately,Contact Agent,"₹ 65,650"
5032,South Delhi,4,4,1,3,2000.0,Sq.Ft.,Built-up Area,Unfurnished,South,No Back-up,Immediately,Contact Agent,₹ 1.4 L
5033,South Delhi,1,1,2,3,750.0,Sq.Ft.,Built-up Area,Unfurnished,North,No Back-up,Immediately,Contact Agent,"₹ 65,000"
5034,Dwarka,2,2,,,832.0,Sq.Ft.,Built-up Area,Unfurnished,,,Immediately,Contact Agent,"₹ 25,000"
